"row","count.x","mfp","lc","id","milk","style","dairy_id","ounces","style2","count.y","dairy","city","state","label"
"1","1","0.0151","NA","1001","Select Semi Skimmed 1.5% [0Y6D-1]","Semi Skimmed","121","16","NA","121","Midtown Creamery","Chicago","IL","Select Semi Skimmed 1.5% [0Y6D-1] (Midtown Creamery)"
"2","2","0.0266","0.01","1002","Organic Lactose Free 2.7% [XTHV-2]","Lactose Free","107","32","NA","107","Prairie Gold Dairy","Fargo","ND","Organic Lactose Free 2.7% [XTHV-2] (Prairie Gold Dairy)"
"3","3","0.0329","5.08","1003","Farmhouse A2 3.3% [DD4V-3]","A2","111","128","NA","111","Heartland Milk Co.","Des Moines","IA","Farmhouse A2 3.3% [DD4V-3] (Heartland Milk Co.)"
"4","4","0.0178","5.01","1004","Homestead Semi Skimmed 1.8% [5UZB-4]","Semi Skimmed","113","64","NA","113","Evergreen Creamery","Seattle","WA","Homestead Semi Skimmed 1.8% [5UZB-4] (Evergreen Creamery)"
"5","5","0.0169","4.83","1005","Fresh Semi Skimmed 1.7% [FMYZ-5]","Semi Skimmed","108","32","NA","108","Riverbend Dairy","Portland","OR","Fresh Semi Skimmed 1.7% [FMYZ-5] (Riverbend Dairy)"
"6","6","0.0023","4.73","1006","Farmhouse Skimmed 0.2% [YHL1-6]","Skimmed","108","32","NA","108","Riverbend Dairy","Portland","OR","Farmhouse Skimmed 0.2% [YHL1-6] (Riverbend Dairy)"
"7","7","0.0349","4.23","1007","Premium Goat 3.5% [5LXO-7]","Goat","111","32","Goat","111","Heartland Milk Co.","Des Moines","IA","Premium Goat 3.5% [5LXO-7] (Heartland Milk Co.)"
"8","8","0.0365","4.81","1008","Farmhouse A2 3.6% [N9ER-8]","A2","108","16","A2","108","Riverbend Dairy","Portland","OR","Farmhouse A2 3.6% [N9ER-8] (Riverbend Dairy)"
"9","9","0.0372","4.33","1009","Pasture-Raised Goat 3.7% [QJT7-9]","Goat","106","64","Goat","106","Maple Meadow Farms","Burlington","VT","Pasture-Raised Goat 3.7% [QJT7-9] (Maple Meadow Farms)"
"10","10","0.0165","4.68","1010","Classic Semi Skimmed 1.6% [ZZ81-10]","Semi Skimmed","111","16","NA","111","Heartland Milk Co.","Des Moines","IA","Classic Semi Skimmed 1.6% [ZZ81-10] (Heartland Milk Co.)"
"11","11","0.0185","0.15","1011","Organic Lactose Free 1.9% [2TAL-11]","Lactose Free","110","16","Lactose Free","110","Seaside Dairies","Portsmouth","NH","Organic Lactose Free 1.9% [2TAL-11] (Seaside Dairies)"
"12","12","0.0163","0.18","1012","Creamy Lactose Free 1.6% [DRC1-12]","Lactose Free","110","32","Lactose Free","110","Seaside Dairies","Portsmouth","NH","Creamy Lactose Free 1.6% [DRC1-12] (Seaside Dairies)"
"13","13","0.0013","5.04","1013","Ultra-Fresh Skimmed 0.1% [HT0H-13]","Skimmed","118","128","NA","118","Great Lakes Dairy","Cleveland","OH","Ultra-Fresh Skimmed 0.1% [HT0H-13] (Great Lakes Dairy)"
"14","14","0.0346","NA","1014","Homestead Organic Whole 3.5% [IMVI-14]","Organic Whole","121","16","NA","121","Midtown Creamery","Chicago","IL","Homestead Organic Whole 3.5% [IMVI-14] (Midtown Creamery)"
"15","15","0.0334","5.05","1015","Creamy Whole 3.3% [CIYH-15]","Whole","121","128","NA","121","Midtown Creamery","Chicago","IL","Creamy Whole 3.3% [CIYH-15] (Midtown Creamery)"
"16","16","0.0343","4.16","1016","Pasture-Raised Goat 3.4% [PQ0Y-16]","Goat","116","16","Goat","116","Bayou Dairy","Lafayette","LA","Pasture-Raised Goat 3.4% [PQ0Y-16] (Bayou Dairy)"
"17","17","0.0162","NA","1017","Premium Semi Skimmed 1.6% [PKI7-17]","Semi Skimmed","111","16","NA","111","Heartland Milk Co.","Des Moines","IA","Premium Semi Skimmed 1.6% [PKI7-17] (Heartland Milk Co.)"
"18","18","0.0378","5.06","1018","Farmhouse Whole 3.8% [FRHO-18]","Whole","118","32","NA","118","Great Lakes Dairy","Cleveland","OH","Farmhouse Whole 3.8% [FRHO-18] (Great Lakes Dairy)"
"19","19","0.0376","4.99","1019","Natural A2 3.8% [Z02X-19]","A2","113","32","NA","113","Evergreen Creamery","Seattle","WA","Natural A2 3.8% [Z02X-19] (Evergreen Creamery)"
"20","20","0.0355","4.87","1020","Local Whole 3.5% [CVS4-20]","Whole","107","16","NA","107","Prairie Gold Dairy","Fargo","ND","Local Whole 3.5% [CVS4-20] (Prairie Gold Dairy)"
"21","21","0.0003","4.63","1021","Farmhouse Skimmed 0.0% [O7UU-21]","Skimmed","103","16","NA","103","Blue Ridge Dairy Co.","Asheville","NC","Farmhouse Skimmed 0.0% [O7UU-21] (Blue Ridge Dairy Co.)"
"22","22","0.0376","NA","1022","Country Organic Whole 3.8% [IOYK-22]","Organic Whole","119","16","Organic Whole","119","Redwood Dairy","Santa Rosa","CA","Country Organic Whole 3.8% [IOYK-22] (Redwood Dairy)"
"23","23","0.0154","4.71","1023","Local Semi Skimmed 1.5% [755N-23]","Semi Skimmed","120","128","NA","120","Appalachian Milk Co.","Knoxville","TN","Local Semi Skimmed 1.5% [755N-23] (Appalachian Milk Co.)"
"24","24","0.0357","5.09","1024","Creamy A2 3.6% [A3KX-24]","A2","123","64","A2","123","Sierra Valley Dairies","Reno","NV","Creamy A2 3.6% [A3KX-24] (Sierra Valley Dairies)"
